exp_id,experiment_name,CB,DCB,TOL,annealing_temperature,E 00,E 01,E 02,00/01,Relative Anion Signal,Bleaching %,polaron ratio,Carrier Concentration,Mobility,Sheet Resistance,conductivity,thickness
6608c6a282f78f6f266495a9,Spring24_SolvTemp_JPM_69,0,90,10,90,2.07813,2.24764,2.41863,0.79258,1.24937,0.42467,0.71913,2.3E+020,0.43115,10753.33333,15.84,5.87E-06
6608c7c4dc5614949379bf35,Spring24_SolvTemp_JPM_70,0,80,20,120,2.07074,2.25062,2.43137,0.78122,1.22599,0.452,0.73421,2.49E+020,0.67095,6784.666667,26.77,5.51E-06
6608c896aebabf9376967554,Spring24_SolvTemp_JPM_71,0,80,20,90,2.07563,2.24764,2.42367,0.78377,1.23427,0.43272,0.74934,2.34E+020,0.35223,11210,13.16,6.78E-06
6608c9e9dc56149493af095c,Spring24_SolvTemp_JPM_72,0,70,30,90,2.0732,2.24768,2.43826,0.78796,1.19949,0.39776,0.70607,2.12E+020,0.70641,8546.666667,24.01,4.87E-06
6608caee82f78f6f26d6f19f,Spring24_SolvTemp_JPM_73,10,80,10,90,2.07566,2.24768,2.40322,0.78599,1.32088,0.46733,0.82558,2.56E+020,0.44258,9404.666667,18.12,5.87E-06
6608cbd08342d8f8563cd1e4,Spring24_SolvTemp_JPM_74,10,30,60,150,2.0705,2.25328,2.42083,0.79106,1.43172,0.51298,0.88308,2.91E+020,0.54312,5882,25.31,6.72E-06
6608ccf6dc56149493086e12,Spring24_SolvTemp_JPM_75,20,80,0,90,2.07813,2.24768,2.43481,0.79258,1.28114,0.42989,0.78814,2.32E+020,0.39207,10684.66667,14.55,6.43E-06
6608cdfadc561494932234c1,Spring24_SolvTemp_JPM_76,20,80,0,120,2.07323,2.25062,2.44176,0.78942,1.28863,0.46555,0.78554,2.59E+020,0.6464,6881.666667,26.83,5.42E-06
6608ceed8342d8f856a0196a,Spring24_SolvTemp_JPM_77,10,90,0,90,2.07319,2.24767,2.43479,0.77773,1.25104,0.45679,0.79153,2.53E+020,0.42869,9833.666667,17.32,5.87E-06
6608cfad8342d8f856b74347,Spring24_SolvTemp_JPM_78,10,90,0,210,2.07799,2.25926,2.41752,0.72064,1.15481,0.18832,0.73513,8.63E+019,3.19258,6682.666667,44.1,3.39E-06
